state,date,dates,confirmed
AN,2020-03-26,"{'delta': {'confirmed': 1}, 'total': {'confirmed': 1}}",1.0
AN,2020-03-27,"{'delta': {'confirmed': 5}, 'total': {'confirmed': 6}}",6.0
AN,2020-03-28,"{'delta': {'confirmed': 3}, 'total': {'confirmed': 9}}",9.0
AN,2020-03-29,{'total': {'confirmed': 9}},9.0
AN,2020-03-30,"{'delta': {'confirmed': 1}, 'total': {'confirmed': 10}}",10.0
AN,2020-03-31,{'total': {'confirmed': 10}},10.0
AN,2020-04-01,{'total': {'confirmed': 10}},10.0
AN,2020-04-02,{'total': {'confirmed': 10}},10.0
AN,2020-04-03,{'total': {'confirmed': 10}},10.0
AN,2020-04-04,{'total': {'confirmed': 10}},10.0
AN,2020-04-05,{'total': {'confirmed': 10}},10.0
AN,2020-04-06,{'total': {'confirmed': 10}},10.0
AN,2020-04-07,{'total': {'confirmed': 10}},10.0
AN,2020-04-08,"{'delta': {'confirmed': 1}, 'total': {'confirmed': 11}}",11.0
AN,2020-04-09,"{'delta': {'recovered': 10}, 'total': {'confirmed': 11, 'recovered': 10}}",11.0
AN,2020-04-10,"{'total': {'confirmed': 11, 'recovered': 10}}",11.0
AN,2020-04-11,"{'total': {'confirmed': 11, 'recovered': 10}}",11.0
AN,2020-04-12,"{'total': {'confirmed': 11, 'recovered': 10}}",11.0
AN,2020-04-13,"{'total': {'confirmed': 11, 'recovered': 10}}",11.0
AN,2020-04-14,"{'total': {'confirmed': 11, 'recovered': 10}}",11.0
AN,2020-04-15,"{'total': {'confirmed': 11, 'recovered': 10}}",11.0
AN,2020-04-16,"{'delta': {'recovered': 1}, 'total': {'confirmed': 11, 'recovered': 11}}",11.0
AN,2020-04-17,"{'delta': {'confirmed': 1, 'tested': 1403}, 'total': {'confirmed': 12, 'recovered': 11, 'tested': 1403}}",12.0
AN,2020-04-18,"{'delta': {'confirmed': 2}, 'total': {'confirmed': 14, 'recovered': 11, 'tested': 1403}}",14.0
AN,2020-04-19,"{'delta': {'confirmed': 1}, 'total': {'confirmed': 15, 'recovered': 11, 'tested': 1403}}",15.0
